date,price_index
2010-01,212.568
2010-02,212.544
2010-03,213.525
2010-04,213.958
2010-05,214.124
2010-06,213.839
2010-07,213.898
2010-08,214.205
2010-09,214.306
2010-10,214.623
2010-11,214.75
2010-12,215.262
2011-01,216.4
2011-02,217.535
2011-03,220.024
2011-04,221.743
2011-05,222.954
2011-06,222.522
2011-07,222.686
2011-08,223.326
2011-09,223.688
2011-10,223.043
2011-11,222.813
2011-12,222.166
2012-01,223.216
2012-02,224.317
2012-03,226.304
2012-04,227.012
2012-05,226.6
2012-06,226.036
2012-07,225.568
2012-08,227.056
2012-09,228.184
2012-10,227.974
2012-11,226.595
2012-12,225.889
2013-01,226.52
2013-02,228.677
2013-03,229.323
2013-04,228.949
2013-05,229.399
2013-06,230.002
2013-07,230.084
2013-08,230.359
2013-09,230.537
2013-10,229.735
2013-11,229.133
2013-12,229.174
2014-01,230.04
2014-02,230.871
2014-03,232.56
2014-04,233.443
2014-05,234.216
2014-06,234.702
2014-07,234.525
2014-08,234.03
2014-09,234.17
2014-10,233.229
2014-11,231.551
2014-12,229.909
2015-01,228.294
2015-02,229.421
2015-03,231.055
2015-04,231.52
2015-05,232.908
2015-06,233.804
2015-07,233.806
2015-08,233.366
2015-09,232.661
2015-10,232.373
2015-11,231.721
2015-12,230.791
2016-01,231.061
2016-02,230.972
2016-03,232.209
2016-04,233.438
2016-05,234.436
2016-06,235.289
2016-07,234.771
2016-08,234.904
2016-09,235.495
2016-10,235.732
2016-11,235.215
2016-12,235.39
2017-01,236.854
2017-02,237.477
2017-03,237.656
2017-04,238.432
2017-05,238.609
2017-06,238.813
2017-07,238.617
2017-08,239.448
2017-09,240.939
2017-10,240.573
2017-11,240.666
2017-12,240.526
2018-01,241.919
2018-02,242.988
2018-03,243.463
2018-04,244.607
2018-05,245.77
2018-06,246.196
2018-07,246.155
2018-08,246.336
2018-09,246.565
2018-10,247.038
2018-11,245.933
2018-12,244.786
2019-01,245.133
2019-02,246.218
2019-03,247.768
2019-04,249.332
2019-05,249.871
2019-06,249.747
2019-07,250.236
2019-08,250.112
2019-09,250.251
2019-10,250.894
2019-11,250.644
2019-12,250.452
2020-01,251.361
2020-02,251.935
2020-03,251.375
2020-04,249.515
2020-05,249.521
2020-06,251.054
2020-07,252.636
2020-08,253.597
2020-09,254.004
2020-10,254.076
2020-11,253.826
2020-12,254.081
2021-01,255.296
2021-02,256.843
2021-03,258.935
2021-04,261.237
2021-05,263.612
2021-06,266.412
2021-07,267.789
2021-08,268.387
2021-09,269.086
2021-10,271.552
2021-11,273.042
2021-12,273.925
